k,n,brute_ms,kdtree_ms
5,1000,0.138542,0.473889
5,1150,0.136708,0.406153
5,1300,0.136778,0.451222
5,1450,0.148569,0.478528
5,1600,0.157139,0.473222
5,1750,0.187847,0.587347
5,1900,0.287972,0.922695
5,2050,0.267375,0.893764
5,2200,0.25775,0.938417
5,2400,0.285111,0.879486
15,1000,0.114708,0.433791
15,1150,0.160459,0.591777
15,1300,0.136972,0.478805
15,1450,0.234681,0.827806
15,1600,0.180584,0.632584
15,1750,0.29825,1.04603
15,1900,0.222319,0.751597
15,2050,0.367736,1.27079
15,2200,0.466792,1.62713
15,2400,0.387819,1.33856
25,1000,0.216986,0.663652
25,1150,0.182556,0.622194
25,1300,0.257944,0.829056
25,1450,0.278084,0.883834
25,1600,0.322486,1.03711
25,1750,0.374847,1.12644
25,1900,0.31118,1.05232
25,2050,0.26225,0.875611
25,2200,0.468653,1.41621
25,2400,0.446292,1.34263
50,1000,0.233583,0.586903
50,1150,0.36282,0.926764
50,1300,0.494639,1.15131
50,1450,0.379347,0.965208
50,1600,0.35732,0.880806
50,1750,0.499056,1.23657
50,1900,0.541083,1.25733
50,2050,0.757778,1.64953
50,2200,0.700694,1.62985
50,2400,0.742208,1.65313
75,1000,0.333708,0.616028
75,1150,0.571097,0.960695
75,1300,0.501556,0.937917
75,1450,0.724194,1.19408
75,1600,0.57225,0.978542
75,1750,0.791236,1.35325
75,1900,1.07269,1.62851
75,2050,1.06464,1.7781
75,2200,1.13803,1.83369
75,2400,1.37671,2.27225
