n,k,brute_ms,kdtree_ms
1000,5,0.0858473,0.326959
1000,15,0.093528,0.361778
1000,25,0.20807,0.641306
1000,50,0.235445,0.599528
1000,75,0.338583,0.623125
1000,100,0.388833,0.706694
1000,125,0.495611,0.675097
1000,150,0.515361,0.64718
1000,200,0.753764,0.7165
1450,5,0.104528,0.330139
1450,15,0.202458,0.716916
1450,25,0.273222,0.867514
1450,50,0.380903,0.971583
1450,75,0.731764,1.18986
1450,100,0.629111,1.12128
1450,125,0.820514,1.03892
1450,150,1.1179,1.29522
1450,200,1.62308,1.41126
1900,5,0.211681,0.687903
1900,15,0.196903,0.667056
1900,25,0.317347,1.02564
1900,50,0.550709,1.24474
1900,75,1.04951,1.67911
1900,100,0.878611,1.36132
1900,125,1.36918,1.52746
1900,150,1.60115,1.71467
1900,200,2.12986,1.83287
2400,5,0.229236,0.714458
2400,15,0.408472,1.28007
2400,25,0.455013,1.34835
2400,50,0.746209,1.62656
2400,75,1.39068,2.25897
2400,100,1.67906,2.4195
2400,125,1.69595,2.02193
2400,150,2.16906,2.20921
2400,200,2.78887,2.31464
